,gender,location,province,membership,sync_status_id,region,location_name,install_app,district,is_deleted
gender,,0.092491762,0.079614132,0.028842049,0,0.071496224,0.092491762,0.160869681,0.104893162,0
location,,,0.616902459,0.089242853,0,0.913342423,1,0.366057288,0.537089228,0
province,,,,0.063276153,0,0.937757185,0.616902459,0.24004019,0.868772399,0
membership,,,,,0,0.058531803,0.089242853,0.063269042,0.072569632,0
sync_status_id,,,,,,0,0,0,0,0
region,,,,,,,0.913342423,0.105138021,0.950747781,0
location_name,,,,,,,,0.366057288,0.537089228,0
install_app,,,,,,,,,0.327970762,0
district,,,,,,,,,,0
is_deleted,,,,,,,,,,
