location_name_value,location_name_count
HCM - 88/4 Nguyễn Ảnh Thủ,8011
KGI - 318-320 Nguyễn Trung Trực,8008
HCM - 28-34 Nguyễn Thị Thập,7956
BDU - 283 Nguyễn An Ninh,7888
VPH - 147 Hai Bà Trưng,7860
HCM - 101 Trần Quang Khải,7834
HCM - 595 Nguyễn Duy Trinh,7818
NBI - 764 - 766 Trần Hưng Đạo,7790
CTO - Quốc Lộ 91,7777
LDO - 19-21 Thống Nhất,7758
TNG - 477 Lương Ngọc Quyến,7757
CTO - 222 Nguyễn Hiền,7754
DNA - 164 Núi Thành,7754
BDI - 394 Nguyễn Thái Học,7751
DNA - 119 Nguyễn Văn Thoại,7741
HCM - 37 Trần Phú Cương,7732
BVT - 85 Nguyễn Thanh Đằng,7716
DON - 240 Hùng Vương,7707
DLK - 384 Lê Duẩn,7693
BDI - 9 Võ Nguyên Giáp,7682
HCM - 383C – 383C Bis Minh Phụng,7665
HCM - 307 Nguyễn Sơn,7662
KHO - 310-312 Thống Nhất,7576
CMA - Dương Thị Cẩm Vân,7510
BDU - E3/1 KP Bình Thuận 2,7492
NAN - 153 Nguyễn Phong Sắc,7480
HCM - 338 Ngô Gia Tự,7475
LAN - 277-278 ĐT835,7466
KGI - 127 Nguyễn Văn Cừ,7419
AGI - 315/4 Trần Hưng Đạo,7392
HCM - 703 Lê Hồng Phong,7387
HAP - 42B-42C-42D Trần Nguyên Hãn,7383
KGI - 31 Mai Thị Hồng Hạnh,7366
BVT - Go! Mall Bà Rịa,7365
BDU - 182 CMT8,7352
DON - 194 Trần Phú,7308
DON - 450 Lý Thái Tổ,7231
DON - 771 Hùng Vương,7212
TNI - 129 Tôn Đức Thắng,7199
HNI - 205 Nguyễn Đức Thuận,7198
TNI - 180 Quốc Lộ 22,7194
HCM - 416 Quốc lộ 13,7179
HCM - 17/15A Khu phố 6,7173
HCM - 175 Lâm Văn Bền,7158
HUE - 39A Thạch Hãn,7101
TGI - 210 Đường Tỉnh 875,7099
HCM - 285 Âu Cơ,7097
BTH - 157 Trần Hưng Đạo,7097
HCM - 396 Lê Văn Sỹ,7083
GLA - 347 Quang Trung,7064
HCM - C38 Dương Quảng Hàm,7043
AGI - 110 Tôn Đức Thắng,7038
DNK - 45 Nguyễn Tất Thành,7001
KTU - 263 Trần Hưng Đạo,6977
BDU - Hội Nghĩa,6975
HCM - 2167/1B Vườn Lài,6974
BDU - 1111B Ấp Vĩnh Phước,6965
KHO - 2E-2F Đường 2/4,6958
HCM - 864 Quốc Lộ 22,6948
BDU - 01 Ngô Thì Nhậm,6943
QNA - 550 Hai Bà Trưng,6930
DON - 530 Xa Lộ Hà Nội,6922
BDU - 272 Đại Lộ Bình Dương,6909
HDU - 413 Trần Hưng Đạo,6900
GLA - 113 Hai Bà Trưng,6856
BDU - 107 đường số 8,6843
DNA - 36 Nguyễn Đức Trung,6841
HCM - 182 Dương Bá Trạc,6794
HNI - 409 Nguyễn Văn Cừ,6773
DON - 2/11 Trần Văn Xã,6765
GLA - 841-843-845 Phạm Văn Đồng,6758
"BDU - Ô 33,34,35,36 Hai Bà Trưng",6732
BGI - A16 Golden Mall,6727
LAN - 1-3- Quốc Lộ 50,6721
HCM - 386 Trần Hưng Đạo,6716
BDU - 626 Cách Mạng Tháng Tám,6666
AGI - 34 Trần Hưng Đạo,6663
BDU - 14 Nguyễn Du,6660
STR - 31-33 Hai Bà Trưng,6656
BTH - 324 Trần Hưng Đạo,6655
HCM - 38 Trần Não,6627
NTH - 602-604-606 Đường 21/8,6590
NBI - 244 Quang Trung,6586
HCM - 871 Phạm Thế Hiển,6581
DON - 633 Phạm Văn Thuận,6553
STR - 39-41 Nguyễn Huệ,6538
HCM - 232A-232B Gò Xoài,6536
BDU - 60 Nguyễn Trãi,6508
HCM - 191 Hoàng Văn Thụ,6506
THO - 698 Trường Sơn,6457
BGI - 315 Thân Cảnh Phúc,6453
HCM - A009 120-120B Ngô Tất Tố,6437
HCM - 470 Hồ Học Lãm,6426
KGI - 13-14 Lô L04 Trần Quang Khải,6424
BDU - 67/13 Đường ĐT743,6421
KHO - 70 Lê Hồng Phong,6418
HCM - 326 Lê Văn Lương,6411
LAN - 10 Phan Chu Trinh,6403
VLO - Thị Trấn Vũng Liêm,6399
GLA - 807D Hùng Vương,6399
HCM - 304B Trường Chinh,6392
LCH - 49 Trần Hưng Đạo,6384
KGI - 178-180 Mạc Thiên Tích,6370
DON - 49F Đường 30/4,6370
LAN - Thửa Đất 438 ĐT824,6359
GLA - 06 Lê Lợi,6339
HUE - 1136 - 1138 Nguyễn Tất Thành,6332
HCM - Sài Gòn Pearl,6327
HCM - 2 Mã Lò,6308
DON - 665 Quốc lộ 20,6306
BDU - 39 Độc Lập,6295
KHO - 04 Nguyễn Thị Ngọc Oanh,6284
HCM - 310 Nguyễn Oanh,6280
BVT - 2181 - 2183 - 2185 Quốc Lộ 51,6273
HCM - 1069 Tỉnh Lộ 43,6268
HCM - 44/1D Phạm Văn Chiêu,6251
DLK - 112-114 Hùng Vương,6195
TGI - 68 Hùng Vương,6186
DLK - 68 Trần Hưng Đạo,6170
HCM - 89/2-91 Phan Huy Ích,6164
BDU - Lô CC1,6162
HCM - 77 - 79 An Dương Vương,6152
CTO - 1209 Quốc Lộ 91,6117
DLK - 514 Giải Phóng,6113
BTR - 263 QL60,6103
HCM - 158 Quốc Lộ 22,6081
DON - 129 Phùng Hưng,6069
LAN - 185 Phan Văn Mãng,6054
HCM - 98 Đường số 15,6051
STR - 1 Mai Thanh Thế,6051
