district_value,district_count
Huyện Quế Võ,4
Thị Xã Bỉm Sơn,4
Huyện Vĩnh Lợi,4
Thành Phố Hòa Bình,4
Huyện Hoa Lư,4
Huyện Đạ Tẻh,4
Huyện Hưng Nguyên,4
Thành Phố Hà Giang,4
Huyện Đức Thọ,4
Huyện Ninh Hải,4
Thành Phố Cao Bằng,4
Thị xã Đông Hòa,4
Huyện Ngọc Lặc,4
Huyện Lạng Giang,4
Huyện Tháp Mười,4
Huyện Minh Long,4
Huyện Đồng Hỷ,4
Thị Xã Nghi Sơn,4
Thành Phố Sầm Sơn,4
Huyện Thuận Châu,4
Thị xã Nghi Sơn,4
Huyện Tân Sơn,3
Huyện Nông Cống,3
Huyện Tiểu Cần,3
Huyện Hiệp Đức,3
Thành phố Gia Nghĩa,3
Huyện Mỏ Cày Bắc,3
Huyện Nghĩa Hưng,3
Huyện Chơn Thành,3
Thành Phố Điện Biên Phủ,3
Huyện Thuận Bắc,3
Huyện Mộc Hóa,3
Huyện Bù Gia Mập,3
Huyện Than Uyên,3
Huyện Vĩnh Thuận,3
Huyện Gio Linh,3
Huyện Yên Sơn,3
Huyện Phù Yên,3
Huyện Nga Sơn,3
Huyện Ia H' Drai,3
Huyện Cát Hải,3
Thị Xã Gia Nghĩa,3
Huyện Đông Sơn,3
Huyện Tân Lạc,3
Huyện Đắk R'Lấp,3
Huyện Tiên Phước,3
Huyện Chi Lăng,3
Phục Hoà,3
Thành Phố Từ Sơn,3
Huyện Mường Lát,3
Huyện Nho Quan,3
Huyện Lệ Thủy,3
Huyện Phú Bình,3
Huyện KBang,3
Huyện Mèo Vạc,3
Huyện Thanh Ba,3
Thị Xã Nghĩa Lộ,3
Huyện Quỳ Châu,3
Huyện Phù Ninh,3
Huyện Nông Sơn,3
Huyện Hoà Bình,3
Huyện Như Thanh,3
Thị Xã Quế Võ,3
Huyện Tân Châu,2
Huyện Bù Đốp,2
Huyện Tân Hồng,2
Thị trấn Phú Riềng,2
Huyện Lâm Hà,2
Huyện Yên Khánh,2
Huyện Sông Hinh,2
Thị Xã Trảng Bàng,2
Huyện Đắk Hà,2
Thị Xã Tịnh Biên,2
Huyện Đam Rông,2
Huyện Dương Minh Châu,2
Huyện Can Lộc,2
Huyện Lộc Hà,2
Huyện Chợ Lách,2
Huyện Ý Yên,2
Thị Xã Thái Hoà,2
Thành Phố Tam Điệp,2
Huyện Yên Thế,2
Huyện Mỹ Lộc,2
Huyện Đông Giang,2
Huyện Tuyên Hóa,2
Thị Xã Hồng Lĩnh,2
Huyện Quế Sơn,2
Huyện Yên Châu,2
Huyện Krông Pa,2
Huyện Bảo Yên,2
Huyện Yên Lập,2
Huyện Tuần Giáo,2
Huyện Ninh Sơn,2
Huyện Thạch Hà,2
Thị Xã Cửa Lò,2
Thị Xã Quảng Trị,2
Huyện Phú Hoà,2
Huyện Ngọc Hồi,2
Huyện Thanh Sơn,2
Huyện Nghĩa Đàn,2
Huyện Đắk Glei,2
Huyện Bảo Lâm,2
Huyện Phú Lương,2
Huyện Văn Quan,2
Huyện Sa Thầy,2
Huyện Cẩm Mỹ,2
Huyện Tương Dương,2
Huyện Mai Sơn,2
Huyện Tây Hoà,2
Huyện Định Hóa,2
Huyện Chiêm Hóa,2
Thành Phố Sông Công,2
Tp.Thủ Đức,1
Huyện Cầu Ngang,1
Thị trấn Long Thành,1
Tp.Thủ Dầu Một,1
Tĩnh Gia,1
Huyện Vũ Quang,1
Huyện Lạc Thủy,1
Huyện Quế Phong,1
Huyện Đại Từ,1
Huyện Minh Hóa,1
Huyện Cam Lộ,1
Huyện Yên Bình,1
Huyện Kiên Lương,1
Huyện Cẩm Thủy,1
Huyện Hà Trung,1
Huyện Bá Thước,1
Huyện Thuận Thành,1
Huyện Lâm Thao,1
Huyện Kon Rẫy,1
Thị Xã Từ Sơn,1
Huyện Con Cuông,1
Thị Xã Thuận Thành,1
Huyện Nậm Pồ,1
Huyện Hữu Lũng,1
Huyện Bắc Trà My,1
Huyện Tiên Yên,1
Huyện Hoàng Su Phì,1
Huyện Hàm Yên,1
Huyện Sốp Cộp,1
Huyện Na Hang,1
Huyện Vị Xuyên,1
Huyện Phong Thổ,1
Huyện Kông Chro,1
Huyện Kon Plông,1
Huyện Duyên Hải,1
Huyện Sơn Hòa,1
Huyện Phú Ninh,1
Huyện Bắc Quang,1
Huyện Thanh Thuỷ,1
Huyện Mường La,1
Huyện Quảng Xương,1
Huyện Mường Tè,1
Huyện Hải Lăng,1
Huyện Trực Ninh,1
Huyện Yên Thủy,1
Huyện Quan Hóa,1
Huyện Triệu Phong,1
Thành Phố Ngã Bảy,1
Huyện Đa Krông,1
Huyện Vĩnh Hưng,1
Huyện Lộc Bình,1
Huyện Cô Tô,1
Huyện Kiên Hải,1
Huyện Đà Bắc,1
Huyện Bảo Thắng,1
Huyện Văn Bàn,1
Huyện Na Rì,1
Huyện Đắk Tô,1
Huyện Thạch Thành,1
Huyện Vĩnh Lộc,1
Thành phố Hồng Ngự,1
Huyện Quảng Hòa,1
Huyện Tủa Chùa,1
Huyện Yên Phong,1
Thị Xã Ngã Năm,1
Huyện Lục Ngạn,1
Thông Nông,1
Thị Xã Đông Hoà,1
Ia H Drai,1
Thành Phố Hồng Ngự,1
