district_value,district_count
Chơn Thành,1752
Can Lộc,1741
Thuận Thành,1741
Móng Cái,1740
Tiền Hải,1730
Phú Tân,1728
Sơn Tịnh,1726
Thuận Nam,1714
Ba Tri,1685
Nông Cống,1682
Triệu Sơn,1681
Sơn Hòa,1666
Hướng Hóa,1646
Hương Trà,1579
Bến Cầu,1567
Văn Giang,1531
Lục Nam,1517
Lập Thạch,1515
Phụng Hiệp,1505
Quỳ Hợp,1498
Chương Mỹ,1481
Tân Hưng,1431
Thái Hoà,1422
Tứ Kỳ,1394
Quốc Oai,1391
Bố Trạch,1368
Đức Cơ,1328
Tân Kỳ,1314
Bù Gia Mập,1310
Tiên Du,1284
Phong Điền,1275
Kim Bảng,1271
Hải Dương,1257
Thường Tín,1253
Hậu Lộc,1241
Hồng Lĩnh,1225
Mang Yang,1222
Yên Khánh,1202
Yên Thành,1178
Quảng Xương,1176
Cù Lao Dung,1174
Văn Lâm,1174
Vụ Bản,1157
Đắk Tô,1149
Thạch Thất,1141
Mê Linh,1138
Hải An,1126
Bắc Bình,1113
Sơn Tây,1109
Sông Công,1102
Lắk,1100
Lang Chánh,1071
Đồng Xuân,1064
Phú Xuyên,1058
Thiệu Hóa,1051
Đắk Mil,1049
Thới Bình,1042
Vĩnh Thạnh,1020
Cẩm Thủy,1002
Đông Triều,959
Thạnh Phú,923
Vĩnh Lộc,913
Hưng Hà,899
Ninh Giang,871
Nam Định,868
Việt Trì,849
Sơn La,824
Sông Hinh,816
Hải Hậu,808
Nghĩa Hành,803
Phúc Thọ,798
Hoằng Hóa,792
Phù Cát,768
Đạ Huoai,761
Quỳnh Lưu,735
Ea Kar,734
Ba Tơ,730
Diễn Châu,728
Từ Sơn,723
9,718
Kỳ Anh,714
Thái Thụy,695
Dương Kinh,685
Ứng Hòa,675
Phú Lộc,668
Vĩnh Bảo,647
Khoái Châu,640
Ý Yên,626
Đông Hưng,621
Kiến Xương,614
An Lão,613
Hồng Dân,595
Vũ Thư,595
Yên Định,594
Lạng Giang,593
Vĩnh Tường,589
Duyên Hải,586
Thăng Bình,585
Ninh Hải,584
Duy Tiên,584
Thọ Xuân,583
Quỳnh Phụ,579
Hiệp Đức,577
Yên Mỹ,569
Giao Thủy,567
Trực Ninh,537
Tân Phú Đông,532
Tiên Lãng,530
Nghĩa Hưng,529
Lý Nhân,525
Nghi Lộc,519
Thành Phố Thủ Đức,509
Bình Xuyên,501
Cẩm Giàng,499
Quận Hai Bà Trưng,493
Xuân Trường,484
Tân Hiệp,481
Mỹ Hào,477
Hưng Yên,474
Chí Linh,471
Đức Huệ,462
Nam Trực,457
Qui Nhơn,452
Thanh Chương,452
Phú Vang,451
Mỹ Xuyên,448
Thanh Miện,446
Yên Dũng,439
Hòa Bình,438
Càng Long,426
Gia Lộc,423
Mỏ Cày Bắc,422
Thạch Hà,421
Thanh Hà,419
Nga Sơn,416
Tân Yên,411
2,407
Kim Sơn,404
Long Mỹ,402
Kim Thành,398
Bình Lục,397
Ninh Sơn,395
U Minh,395
Ân Thi,389
Quảng Yên,387
Thành phố Thủ Đức,384
Trà Cú,383
Lạng Sơn,381
Hớn Quản,376
Triệu Phong,372
Yên Lạc,369
Mang Thít,364
Đắk Song,362
Bình Giang,360
Tuy An,358
Quảng Ninh,357
Tây Hoà,355
Kiến Thuỵ,354
Phú Hoà,353
Tuyên Quang,351
Nam Sách,348
Kim Động,346
Lương Tài,345
Cẩm Khê,345
Long Điền,344
Thanh Liêm,342
Quảng Trạch,342
Yên Mô,340
Long Phú,339
Gia Viễn,335
Gia Bình,333
Đông Hòa,332
Tuy Hòa,330
Đức Thọ,326
Gio Linh,326
Mỹ Tú,321
Quận 12,320
Phú Bình,314
Sơn Dương,312
Hương Khê,308
Hà Trung,305
Hương Sơn,305
Quảng Điền,304
Nghi Xuân,303
Ngọc Hiển,294
Đại Từ,293
Hưng Nguyên,289
Chư Prông,282
Hạ Hoà,278
Nho Quan,274
Vĩnh Thuận,272
Lâm Thao,270
Thạnh Trị,269
Tam Dương,268
Đông Sơn,260
Phù Cừ,255
Krông Búk,253
Lộc Hà,253
Hoà Vang,252
Điện Biên Phủ,251
Ia Grai,250
Thanh Ba,250
Thành Phố Biên Hòa,245
Thạch Thành,245
Tiên Phước,241
Vị Thuỷ,238
Vũng Liêm,237
Đoan Hùng,236
Hoa Lư,236
Tiên Lữ,232
Tuyên Hóa,231
Huyện Châu Thành,227
Văn Yên,221
Đăk Đoa,219
Thanh Sơn,219
Mộc Châu,212
Anh Sơn,212
Cao Bằng,211
Thanh Thuỷ,209
Tuy Đức,205
Vĩnh Lợi,204
Cam Lộ,203
Đam Rông,202
Ngã Bảy,201
Ngọc Lặc,201
Nghĩa Đàn,197
Hà Giang,194
Mỹ Lộc,193
Lương Sơn,191
Hữu Lũng,189
Thủ Đức,188
Yên Bình,188
Yên Thế,184
Sông Lô,183
Yên Sơn,181
Đồ Sơn,179
Phù Ninh,175
Thành phố Thuận An,174
Quận Hà Đông,174
Sơn Động,173
Đông Hoà,171
Phú Quí,169
Phú Ninh,169
Phú Thọ,168
Kim Bôi,168
Như Thanh,165
Chư Păh,164
Cửa Lò,162
Trấn Yên,162
Chiêm Hóa,161
Hàm Yên,160
Bảo Thắng,158
Lạc Thủy,157
Thành Phố Mỹ Tho,155
Chư Pưh,153
Giồng Giềng,152
Lục Yên,152
Đắk R'lấp,150
Thành Phố Thủ Dầu Một,148
Bắc Quang,147
Phú Lương,146
Vân Đồn,146
Tam Đảo,141
Định Hóa,141
Hải Hà,141
Thành Phố Nha Trang,140
Đồng Hỷ,139
Mai Sơn,139
Bắc Kạn,131
Phú Thiện,129
Huyện Bình Chánh,129
Chi Lăng,128
Thành Phố Phan Thiết,127
Lạc Sơn,127
Tân Lạc,127
Lộc Bình,126
Giang Thành,125
Thành Phố Buôn Ma Thuột,124
