feature,timestamp,event_value,price,date_key,quantity,discount
timestamp,1.0,0.01513599465339771,-0.008517725672826973,0.999995878108018,0.01513599465339771,0.021647059500511195
event_value,0.015135994653397709,0.9999999999999999,-0.11093792448289985,0.015148963906046295,0.9999999999999999,0.12550901448550633
price,-0.008517725672826972,-0.11093792448289984,0.9999999999999998,-0.008461977377009603,-0.11093792448289984,0.11248516460119919
date_key,0.9999958781080182,0.015148963906046293,-0.008461977377009605,1.0,0.015148963906046293,0.02167280557958249
quantity,0.015135994653397709,0.9999999999999999,-0.11093792448289985,0.015148963906046295,0.9999999999999999,0.12550901448550633
discount,0.021647059500511195,0.1255090144855063,0.11248516460119919,0.021672805579582486,0.1255090144855063,1.0
